,Monocot,,,,,,Dicot,,,,,
,Iso,Iso_beta,Mono_beta_A,Mono_beta_B,Inter,Inter_beta,Iso,Iso_beta,Mono_beta_A,Mono_beta_B,Inter,Inter_beta
Total,5.6222441231,3.1623834461,4.7596119107,5.1847795165,5.4031133227,4.9581937867,17.9209669085,16.6793448197,16.3231937912,16.4789562129,17.8709671263,16.3349565176
Shoot,4.3031028702,2.4206462739,3.7413424394,4.0368339504,4.1672239989,3.8790419791,16.0582134807,14.9315184222,14.6070841223,14.7491631635,16.0132454941,14.6181911874
Root,1.3191412529,0.7417371722,1.0182694713,1.1479455661,1.2358893238,1.0791518076,1.8627534277,1.7478263975,1.7161096689,1.7297930494,1.8577216322,1.7167653302
Shoot/Root,3.2620485947,3.2634824905,3.6742164475,3.5165726229,3.37184238,3.5945285469,8.6206865824,8.5429070323,8.5117428023,8.5265478251,8.6198304505,8.514961789
,,,,,,,,,,,,
,,,,,,,,,,,,
Iso_beta/Iso,43.75%,Inter_beta/Inter,8.23%,,,Iso_beta/Iso,6.93%,Inter_beta/Inter,8.60%,,,
,43.75%,,6.92%,,,,7.02%,,8.71%,,,
,43.77%,,12.68%,,,,6.17%,,7.59%,,,
,-0.04%,,-6.60%,,,,0.90%,,1.22%,,,
,,,,,,,,,,,,
Inter/Iso,3.90%,Inter_beta/Iso_beta,-56.79%,,,Inter/Iso,0.28%,Inter_beta/Iso_beta,2.06%,,,
,3.16%,,-60.25%,,,,0.28%,,2.10%,,,
,6.31%,,-45.49%,,,,0.27%,,1.78%,,,
,-3.37%,,-10.14%,,,,0.01%,,0.33%,,,
,A,B,,,,,A,B,,,,
Mono_beta/Iso_beta,-50.51%,-63.95%,,,,Mono_beta/Iso_beta,2.14%,1.20%,,,,
,-54.56%,-66.77%,,,,,2.17%,1.22%,,,,
,-37.28%,-54.76%,,,,,1.81%,1.03%,,,,
,-12.59%,-7.76%,,,,,0.36%,0.19%,,,,
,,,,,,,,,,,,
,A,B,,,,,A,B,,,,
Inter_beta/Mono_beta,-4.17%,4.37%,,,,Inter_beta/Mono_beta,-0.07%,0.87%,,,,
,-3.68%,3.91%,,,,,-0.08%,0.89%,,,,
,-5.98%,5.99%,,,,,-0.04%,0.75%,,,,
,2.17%,-2.22%,,,,,-0.04%,0.14%,,,,
